time,seconds_elapsed,z,y,x
1783174251531438000,0.07843798828125,1.0558294881254433,-0.1793522124134004,0.10567132852226495
1783174251541506300,0.08850634765625,0.8615344119936227,-0.22700711303576826,0.0039661271519958975
1783174251551575300,0.0985751953125,0.42761400266289706,-0.10775237258002161,0.014923976354859769
1783174251561644000,0.10864404296875,0.05894084926843643,0.006743921302258968,0.014446933427639305
1783174251571712300,0.118712158203125,-0.3156231157302856,0.014436960022896527,-0.046690256841294464
1783174251581781200,0.12878125,-0.525952211818099,-0.043675183336436746,-0.13287621937729419
1783174251591850200,0.138850341796875,-0.5349976880609989,-0.05189356110543012,-0.3438253470595926
1783174251601918200,0.148918212890625,-0.3913602014988661,-0.11322335133701562,-0.4597845896339044
1783174251611987200,0.1589873046875,-0.26266777061223984,-0.2845332732006907,-0.5266523594440892
1783174251622055200,0.16905517578125,0.008989362141489982,-0.2827338225632906,-0.58011821136754
1783174251632124200,0.179124267578125,0.35632045229971404,-0.18413813151568173,-0.463678893658705
1783174251642193200,0.189193115234375,0.5787251861065625,-0.05064794495850801,-0.23264384028110652
1783174251652261400,0.199261474609375,0.6100245797336101,0.0431239791944623,-0.06705510907582939
1783174251662330000,0.209330078125,0.2913385693013668,-0.016264321580529213,0.012567914748005568
1783174251672399400,0.2193994140625,-0.010515548795461654,-0.12282412337511778,0.05760167308654636
1783174251682467300,0.22946728515625,-0.07146656884253025,-0.10170374006554483,-0.014313918165117501
1783174251692536000,0.2395361328125,-0.00805880329310894,-0.012978285647183656,-0.20179456504173576
1783174251702604300,0.249604248046875,0.10753799917697907,0.029957039107382295,-0.13398885679431258
1783174251712673300,0.25967333984375,0.18420915092527865,0.15739683958441017,-0.09711451257914304
1783174251722742000,0.269741943359375,-0.00426642527282238,0.21501856907829642,-0.41979985831324007
1783174251732810200,0.279810302734375,-0.4663531909018755,0.08478095457628369,-0.44459567873254413
1783174251742879200,0.289879150390625,-0.5557487996667623,-0.09317337373793125,0.6490299446281045
1783174251752948200,0.2999482421875,-0.09528291323781013,-0.05101531696617603,0.4434476777411997
1783174251763016200,0.31001611328125,0.33332536115944383,-0.06693681645840406,-0.0756659932937473
1783174251773085200,0.320085205078125,0.5693634835213423,-0.1268155310988426,-0.1370563911387697
1783174251783154200,0.330154296875,0.6332073024004697,-0.060113984701037404,0.03175086372159421
1783174251793222100,0.34022216796875,0.34473815105557437,-0.020509119543433187,0.006224500538036227
1783174251803291100,0.350291015625,-0.023498364487290382,0.04585764194205403,-0.2771005293840542
1783174251813359400,0.360359375,-0.3028834611445665,0.08692468860670924,-0.5857611491579562
1783174251823428000,0.370427978515625,-0.4165028260618448,0.022236235596984625,-0.5794090036522597
1783174251833497300,0.380497314453125,-0.34308453862965105,-0.026528672093898056,-0.36555893036406484
1783174251843565300,0.3905654296875,-0.2743132002204656,0.04818944589048624,-0.30859708955101667
1783174251853634000,0.400634033203125,-0.06399754813611506,0.06791033766567707,-0.4717059135740623
1783174251863703300,0.410703369140625,0.03212240044772625,0.06802841108739376,-0.5389486176438629
1783174251873771300,0.420771240234375,-0.0592079757720232,0.028229484662413595,-0.5062644185949117
1783174251883840000,0.430840087890625,-0.17200842552185058,0.07527092956155539,-0.332089535754174
1783174251893908200,0.440908203125,-0.09015782530903815,0.07078808505907655,-0.23777234400967134
1783174251903977200,0.450977294921875,-0.12125380531847477,0.048043023157119745,-0.23074246363919226
1783174251914046200,0.461046142578125,-0.1659469335258007,0.008019201935082673,-0.3607269801629707
1783174251924114200,0.4711142578125,-0.12221768191456794,-0.08326558157727122,-0.7901588824354112
1783174251934183200,0.48118310546875,-0.2115378873556852,-0.19889014883711933,-1.2739666276156902
1783174251944252200,0.491252197265625,-0.506056255736947,-0.3326150209330022,-1.5500354393318294
1783174251954320100,0.501320068359375,-0.6838964561522006,-0.3169496881589293,-1.5557595160670576
1783174251964389000,0.51138916015625,-0.6077957977682352,-0.20913550238907336,-1.116123067177087
1783174251974458000,0.5214580078125,-0.443000372365117,-0.10465177621617913,-0.47333808135315775
1783174251984526000,0.531526123046875,-0.3394488124758005,-0.05941957269608974,0.12596793782617896
1783174251994595300,0.54159521484375,-0.2232119585365057,-0.012810673995316027,0.6481814380399883
1783174252004663300,0.551663330078125,-0.19251228436827658,0.04684110002145171,1.0006976757511497
1783174252014732000,0.56173193359375,-0.2581763044118881,0.12219795430079101,1.037948671258986
1783174252024801300,0.57180126953125,-0.2748462841838598,0.20870207940787075,0.8425729602836072
1783174252034869200,0.581869140625,-0.1860159080862999,0.18674977531880138,0.5957761645527556
1783174252044938000,0.59193798828125,-0.4573223277062177,0.1406641698397696,0.28987737417500464
1783174252055007200,0.60200732421875,-0.8773819694668054,0.10567761213257908,0.06107417150270193
1783174252065075200,0.6120751953125,-1.1164590211331844,0.05692614844515919,-0.1474236357710324
1783174252075144200,0.622144287109375,-1.0393746124088763,0.06605798779726028,-0.14306744985552503
1783174252085212200,0.632212158203125,-0.8383212941884994,0.14445260233730076,0.055446148153627285
1783174252095281200,0.64228125,-0.5789356139868498,0.29981881287693973,0.29830720273759215
1783174252105350100,0.65235009765625,-0.36427228808701034,0.48116789819598194,0.49751120329685505
1783174252115418000,0.662418212890625,-0.1978665048778057,0.5611180716149509,0.6428087320256978
1783174252125487000,0.672487060546875,-0.0909399155974388,0.5306580514214932,0.6080496629314497
1783174252135556000,0.68255615234375,0.07691548189818859,0.42273149131834503,0.45881410063393413
1783174252145624000,0.6926240234375,0.21061668085753915,0.3044906040802598,0.27365413352353496
1783174252155693300,0.702693359375,0.1575543682336807,0.17996479135379195,0.15937327249022198
1783174252165761300,0.71276123046875,-0.07144961770772934,0.10761895545870065,0.027208039510052184
1783174252175830300,0.722830322265625,-0.1546978097587824,0.0889469882145524,-0.0009245127000845968
1783174252185899300,0.732899169921875,-0.1647872420966625,0.08245324228107928,0.15810750860441475
1783174252195967200,0.74296728515625,-0.25085633678734304,0.0690777740098536,0.2887582887508906
1783174252206036200,0.7530361328125,-0.34624738657474513,0.05590469644293189,0.3215108585946262
1783174252216105200,0.763105224609375,-0.4887731125026941,0.08597337923124432,0.21410729945227502
1783174252226173200,0.773173095703125,-0.5318862780421972,0.06478036907687783,0.10022172134686261
1783174252236242200,0.7832421875,-0.30865503028333185,-0.04487842164635658,0.023411818714998662
1783174252246311200,0.793311279296875,-0.15157354025840758,-0.12626914926245808,0.009821721312403678
1783174252256379400,0.80337939453125,-0.15811901637911796,-0.0628109687000513,0.06472392618190496
1783174252266448400,0.813448486328125,-0.14559855750203132,0.03685702775418758,0.06764843532647938
1783174252276516000,0.82351611328125,0.03150456081032753,0.09063260321393608,0.05927521405564621
1783174252286585300,0.83358544921875,0.26020108823776245,0.07857742376103997,0.08840137356314808
1783174252296654300,0.843654296875,0.5043552970379591,0.08782558296918869,0.11466503804530948
1783174252306722000,0.85372216796875,0.8954203149825334,0.17948840601369737,0.3272380771350115
1783174252316791300,0.863791259765625,0.3604892624169588,0.02118058906421065,0.3487348925415426
1783174252326860300,0.8738603515625,-0.4532400268286466,0.049174657535552974,0.1323932398996316
1783174252336928300,0.88392822265625,-0.8475748602241278,0.14184139692559838,-0.015357253205589949
1783174252346997200,0.893997314453125,-0.9770008660823106,0.2112162541858852,-0.0187742220422253
1783174252357065200,0.904065185546875,-0.9409405416637658,0.20566329623386262,-0.07711401841128245
1783174252367134200,0.91413427734375,-0.6419067416846752,0.15080767045244572,-0.24483685730211435
1783174252377203200,0.924203125,-0.23691198258697985,0.13722308947518466,-0.4133983572404831
1783174252387271200,0.934271240234375,0.15920914970338343,0.1097140280418098,-0.46594464663360263
1783174252397340400,0.94434033203125,0.4336141198605299,-0.026513620655238625,-0.5041821324281395
1783174252407409200,0.9544091796875,0.7352846980839968,-0.1344182611875236,-0.5256138101765886
1783174252417477400,0.964477294921875,0.9465256483197212,-0.2186971114605665,-0.47837691577058283
1783174252427546400,0.97454638671875,1.0210112727224827,-0.2514244920641184,-0.304060943958722
1783174252437614000,0.984614013671875,0.975838252043724,-0.25271993870213627,-0.11993234745636581
1783174252447683300,0.994683349609375,0.8943968171536922,-0.18524594662711022,0.033542898237518964
1783174252457752300,1.00475244140625,0.9181617236226797,-0.19881679133996366,0.15767821380905805
1783174252467820300,1.0148203125,0.9404542194515466,-0.2800767321832478,0.24361542574837802
1783174252477889300,1.02488916015625,1.1007131704688071,-0.3646861295849085,0.23149996747560797
1783174252487958300,1.034958251953125,1.257154024502635,-0.38645343249589204,0.290666624856554
1783174252498026500,1.045026611328125,1.3744675677627325,-0.4820809213876724,0.27034126438219097
1783174252508095200,1.05509521484375,1.453113818976283,-0.6503169887639582,0.21408187275007365
1783174252518164200,1.065164306640625,1.3998054226368666,-0.7199103110805154,0.11791172834895551
1783174252528232400,1.075232421875,1.1577169141948223,-0.5764980115763843,0.03374419296327978
1783174252538301200,1.08530126953125,0.9035773179531097,-0.2793587931722402,0.05551295717898756
1783174252548369200,1.095369140625,0.6572200461506843,0.07497443083301186,0.10907434189878404
1783174252558438400,1.1054384765625,0.4775537993520498,0.43728900898098944,-0.04237517012115568
1783174252568507100,1.115507080078125,0.581505172213912,0.7104175294615328,-0.21690778035838157
1783174252578575400,1.125575439453125,1.0858668989926576,0.7806926965624094,-0.31691330167129633
1783174252588644400,1.135644287109375,1.9234499420344828,0.7221776714906096,-0.4097876924626529
1783174252598713000,1.145713134765625,2.6961054626137018,0.6441539360895753,-0.46990628027357156
1783174252608781300,1.15578125,3.1527672805845737,0.6445866284184157,-0.5447847764514386
1783174252618850300,1.165850341796875,3.353289852929115,0.6298186828754841,-0.6018045945294201
